"Tags","Vendor","Title","Handle","Body (HTML)","Variant Price","Length","Length Unit","Width","Width Unit","Thickness","Thickness Unit","Variant Weight","Variant Weight Unit","URL","Image Src","Image Position"
"""Building Materials,Ladders,Step Ladders""","Werner","6 ft. Fiberglass Step Ladder (10 ft. Reach Height) with 300 lb. Load Capacity Type IA Duty Rating","6-ft-fiberglass-step-ladder-(10-ft-reach-height)-with-300-lb-load-capacity-type-ia-duty-rating","<div class=""sui-flex sui-flex-col sui-gap-4""><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Robust 300 lb. load capacity step ladder for maximum productivity</span></li><li data-testid=""bullet-list-item""><span>Werner ladder exclusive multi-functional HolsterTop secures tools</span></li><li data-testid=""bullet-list-item""><span>Double-riveted, slip-resistant Traction-Tred steps for safety</span></li></ul><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>The Werner NXT1A06 Fiberglass 6ft Step Ladder is the ladder built for the pro. This 300lb duty rated ladder features a yellow LOCKTOP ladder top to house all the tools for the job, including an impact driver. Carabiner anchor point allows gear to be safely tethered to the ladder top, preventing injuries and damage from falling tools. Fiberglass rails are non-conductive and safe for working near electricity. Fully braced steps and rear horizontals provide superior stability.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Professional grade 300 lbs. load capacity and TIA duty rating</span></li><li data-testid=""bullet-list-item""><span>Fiberglass rails are non-conductive and suitable for working near electricity</span></li><li data-testid=""bullet-list-item""><span>LOCKTOP ladder top safely holds an arsenal of tools, including an impact driver</span></li><li data-testid=""bullet-list-item""><span>Carabiner points allow for tools to be tethered, preventing injuries and damages below from falling tools</span></li><li data-testid=""bullet-list-item""><span>Werner Lock-In accessories system easily works extends and customizes the usable space of the top (sold separately)</span></li><li data-testid=""bullet-list-item""><span>Yellow accents provide maximum visibility to ladder tops and feet</span></li><li data-testid=""bullet-list-item""><span>EDGE 360 bracing protects ladder feet and rails from damage</span></li><li data-testid=""bullet-list-item""><span>Footpads are extra wide, slip resistant, and non-marring</span></li><li data-testid=""bullet-list-item""><span>Weather resistant for outdoor use</span></li><li data-testid=""bullet-list-item""><span>ANSI certified and OSHA compliant</span></li><li data-testid=""bullet-list-item""><span><a href=""https://www.homedepot.com/c/ab/types-of-ladders/9ba683603be9fa5395fab90f1001b7a"" target=""_blank"">Not sure which ladder is right for your home? Check out our helpful buying guide here.</a></span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 100662617</span><span><span>Internet #:</span> 051751035520</span><span><span>Model #:</span> NXT1A06</span></div>","99.97","","undefined","23.34","in","","undefined","22","lb","https://www.homedepot.com/p/Werner-6-ft-Fiberglass-Step-Ladder-10-ft-Reach-Height-with-300-lb-Load-Capacity-Type-IA-Duty-Rating-NXT1A06/100662617","https://images.thdstatic.com/productImages/7da4b2a5-bf0d-426f-886a-06596ce5efff/svn/werner-step-ladders-nxt1a06-64_600.jpg","1"
"undefined","undefined","undefined","6-ft-fiberglass-step-ladder-(10-ft-reach-height)-with-300-lb-load-capacity-type-ia-duty-rating","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://images.thdstatic.com/productImages/58d0ac7b-7dec-4347-91cc-fe23446361d9/svn/werner-step-ladders-nxt1a06-e1_600.jpg","2"
"undefined","undefined","undefined","6-ft-fiberglass-step-ladder-(10-ft-reach-height)-with-300-lb-load-capacity-type-ia-duty-rating","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/jit/1834613806001/bd2da55f-35cc-4ae6-a7f4-e54a126840f7/main/1280x720/29s941ms/match/image.jpg?pubId=66036796001","3"
"undefined","undefined","undefined","6-ft-fiberglass-step-ladder-(10-ft-reach-height)-with-300-lb-load-capacity-type-ia-duty-rating","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/jit/1834613806001/bd2da55f-35cc-4ae6-a7f4-e54a126840f7/main/1280x720/29s941ms/match/image.jpg?pubId=66036796001","4"
"undefined","undefined","undefined","6-ft-fiberglass-step-ladder-(10-ft-reach-height)-with-300-lb-load-capacity-type-ia-duty-rating","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/jit/1834613806001/bd2da55f-35cc-4ae6-a7f4-e54a126840f7/main/1280x720/29s941ms/match/image.jpg?pubId=66036796001","5"
"undefined","undefined","undefined","6-ft-fiberglass-step-ladder-(10-ft-reach-height)-with-300-lb-load-capacity-type-ia-duty-rating","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://cf-images.us-east-1.prod.boltdns.net/v1/jit/1834613806001/bd2da55f-35cc-4ae6-a7f4-e54a126840f7/main/1280x720/29s941ms/match/image.jpg?pubId=66036796001","6"
"""Building Materials,Moulding & Millwork,Moulding,Baseboard""","Unbranded","WM 623 9/16 in. x 3 1/4 in. x 144 in. Pine Primed Finger-Jointed Baseboard Molding Pro Pack 120 LF (10-Pieces)","wm-623-916-in-x-3-14-in-x-144-in-pine-primed-finger-jointed-baseboard-molding-pro-pack-120-lf-(10-pieces)","<div class=""sui-flex sui-flex-col sui-gap-4""><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Hides imperfections; protects against bumps,scratches</span></li><li data-testid=""bullet-list-item""><span>120 linear ft.</span></li><li data-testid=""bullet-list-item""><span>Enhances value of the design</span></li></ul><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>The WM 623 9/16 in. x 3 1/4 in. x 144 in. Pine Primed Finger-Jointed Base Molding Pro Pack includes ten 144 in. pieces for maximum savings on your project. It protects the bottom of your walls and add a stylish border to your room. The all wood construction is primed white for additional convenience and efficiency when paint is applied so you can easily match your existing decor.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Pine construction</span></li><li data-testid=""bullet-list-item""><span>White finish is pre-primed for easy painting</span></li><li data-testid=""bullet-list-item""><span>Use where floors and walls meet for protection from kicks, bumps and scratches</span></li><li data-testid=""bullet-list-item""><span>Sold by the bundle to save you money versus buying by the linear foot</span></li><li data-testid=""bullet-list-item""><span>Manufacturers and availability may vary by store</span></li><li data-testid=""bullet-list-item""><span><a href=""https://www.homedepot.com/services/c/door-window-specialist/893e44520"" target=""_blank"" style=""color:#F96302;"">Speak to an Associate about Doors and Windows. Call 1-833-HDAPRON (432-7766) for free design, purchase and installation help daily from 9AM - 9PM EST.</a></span></li><li data-testid=""bullet-list-item""><span>Note: Product may vary by store</span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li><li data-testid=""bullet-list-item""><div class=""sui-flex sui-flex-row""><div>California residents</div>&nbsp;<div><a class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">see Prop 65 WARNINGS</a></div></div></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 100570314</span><span><span>Internet #:</span> 7809543800008</span><span><span>Model #:</span> VM0623-12B</span></div>","119","144","in","5.625","in","","undefined","","undefined","https://www.homedepot.com/p/WM-623-9-16-in-x-3-1-4-in-x-144-in-Pine-Primed-Finger-Jointed-Baseboard-Molding-Pro-Pack-120-LF-10-Pieces-VM0623-12B/100570314","https://images.thdstatic.com/productImages/dde7557a-b9c0-40d1-9215-9d38d625c802/svn/white-baseboard-vm0623-12b-64_600.jpg","1"
"undefined","undefined","undefined","wm-623-916-in-x-3-14-in-x-144-in-pine-primed-finger-jointed-baseboard-molding-pro-pack-120-lf-(10-pieces)","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://images.thdstatic.com/productImages/c95a33a8-3ef8-4b46-8f0e-d68a74882884/svn/white-baseboard-vm0623-12b-c3_600.jpg","2"
"""Building Materials,Ladders,Attic Ladders""","Louisville Ladder","Energy Efficient 7 ft. 8 in. to 10 ft. 3 in., 25.5 in. x 54 in. Insulated Aluminum  Attic Ladder, 375 lbs. Load Capacity","energy-efficient-7-ft-8-in-to-10-ft-3-in-255-in-x-54-in-insulated-aluminum-attic-ladder-375-lbs-load-capacity","<div class=""sui-flex sui-flex-col sui-gap-4""><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Aluminum frame with pre-drilled holes for easy installation</span></li><li data-testid=""bullet-list-item""><span>R5 insulated door panel helps regulate temperature all year long</span></li><li data-testid=""bullet-list-item""><span>Attic Ladder fits 7 ft. 8 in. to 10 ft. 3 in. ceiling heights</span></li></ul><span class=""sui-mt-8""><h5 class=""sui-h5-bold sui-line-clamp-unset sui-text-primary"">About This Product</h5></span><p>Louisville AH2540MG-R5 aluminum framed attic ladder offers an R5 insulated door with factory installed weather stripping providing more energy efficiency than a traditional attic ladder. Predrilled holes plus a lighter weight, more square aluminum frame provides easier installation than traditional wood framed attic ladders. Designed for attic openings of 25.5 in. x 54 in., the adjustable shoes allow the unit to fit ceiling heights from 7 ft. 8 in., 10 ft. 3 in. Gas piston system allows easier and smoother opening and closing of the door. This attic ladder has a working load capacity of 375 lbs.</p></div><ul class=""sui-w-full sui-list-disc sui-px-6 sui-flex sui-flex-col sui-gap-2 sui-mt-4"" data-testid=""bullet-list""><li data-testid=""bullet-list-item""><span>Lighter weight aluminum frame with pre- drilled holes for easier installation</span></li><li data-testid=""bullet-list-item""><span>Superior energy efficiency, R5 insulated door with weather stripping that reduces energy loss</span></li><li data-testid=""bullet-list-item""><span>375 lbs. duty rating affords safety and heavy-duty quality</span></li><li data-testid=""bullet-list-item""><span>Adjustable shoes fit ceiling heights from 7 ft. 8 in. to 10 ft. 3 in.</span></li><li data-testid=""bullet-list-item""><span>25 1/2 in. X 54 in. attic opening</span></li><li data-testid=""bullet-list-item""><span>Smooth operation, easier to open and close door with gas piston system</span></li><li data-testid=""bullet-list-item""><span>Slip-resistant cross-tread steps deliver steady footing and more comfort when ascending and descending</span></li><li data-testid=""bullet-list-item""><span>Product meets or exceeds requirements of the ANSI A14.9 safety standard</span></li><li data-testid=""bullet-list-item""><a href=""https://www.homedepot.com/c/Return_Policy"" class=""sui-font-regular sui-text-base sui-tracking-normal sui-normal-case sui-line-clamp-unset sui-text-primary focus-visible:sui-bg-focus focus-visible:sui-outline-none sui-underline"">Return Policy</a></li></ul><div class=""sui-flex sui-flex-col sui-gap-2 sui-my-4"" data-testid=""productInfo""><span><span>Product ID #:</span> 326588092</span><span><span>Internet #:</span> 728865144430</span><span><span>Model #:</span> AH2540MG-R5</span></div>","299","10","ft","25.5","in","","undefined","54","lb","https://www.homedepot.com/p/Louisville-Ladder-Energy-Efficient-7-ft-8-in-to-10-ft-3-in-25-5-in-x-54-in-Insulated-Aluminum-Attic-Ladder-375-lbs-Load-Capacity-AH2540MG-R5/326588092","https://images.thdstatic.com/productImages/c98766ed-9e14-423a-af77-02d372b1117a/svn/louisville-ladder-attic-ladders-ah2540mg-r5-64_600.jpg","1"
"undefined","undefined","undefined","energy-efficient-7-ft-8-in-to-10-ft-3-in-255-in-x-54-in-insulated-aluminum-attic-ladder-375-lbs-load-capacity","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","https://images.thdstatic.com/productImages/9b0329bd-0ed2-40a3-aa5b-f53303e70feb/svn/louisville-ladder-attic-ladders-ah2540mg-r5-e1_600.jpg","2"
